,Book,Pages,Size(MB)
242,Complete Guide to Next Level User GUIDE.pdf,31,4.064
246,Comprehensive Practical Inferential Statistics Guide GUIDE.pdf,30,0.694
252,Container Technology GUIDE.pdf,29,1.412
253,Core Principle of Data Visualization GUIDE.pdf,2,0.127
261,Cybersecurity Checklist GUIDE.pdf,15,0.608
265,Data Analysis From Scratch With Python Step by Step GUIDE.pdf,104,2.786
274,Data Career Skills Checklist GUIDE.pdf,19,0.505
277,Data Cleaning Resource GUIDE.pdf,66,2.111
308,Data Science Tools GUIDE.pdf,23,2.844
312,Data Structure and Algorithms1 GUIDE.pdf,15,1.132
313,Data Structure and Algorithm Sheet GUIDE.pdf,20,9.055
318,Data Visualisation Principles GUIDE.pdf,12,1.061
320,Data Visualization1 GUIDE.pdf,12,0.55
326,Data Visualization GUIDE.pdf,10,1.329
334,Data Warehouse GUIDE.pdf,27,0.574
356,Deep Learning With Keras for Beginner GUIDE.pdf,98,0.573
368,Detecting the Unknown A Guide to Threat Hunting GUIDE.pdf,50,2.307
371,DevOps Complete Package GUIDE.pdf,127,9.651
374,DevOps Tools GUIDE.pdf,55,2.931
378,Digital Image Processing Introduction GUIDE.pdf,167,4.141
390,DSI Guide 15 Key Pandas Concepts For Data Science GUIDE.pdf,3,0.469
394,Easy and Quick guide to Statistics of Machine Learning GUIDE.pdf,112,1.843
398,Email Sentences and Phrases in Different Situations GUIDE.pdf,11,0.427
399,Email Writing Basic Tips for Beginners GUIDE.pdf,11,0.472
400,Email Writing Tipis GUIDE.pdf,9,0.492
403,Enterprise Architecture Practice on a Page GUIDE.pdf,1,0.448
407,Evaluation Metrics for Regression Models GUIDE.pdf,15,0.355
419,Executive Data Science GUIDE.pdf,150,1.922
431,Financial Modeling GUIDE.pdf,5,2.62
466,Git Tutorial Book GUIDE.pdf,195,2.569
470,Google Cloud Adoption Framework GUIDE.pdf,35,2.348
473,Graph Database for Beginners GUIDE.pdf,46,5.295
479,Guide to Crack Product Based Companies GUIDE.pdf,4,0.303
480,Guide to Machine Learning Pipelines GUIDE.pdf,27,1.816
483,Handbook of Formulae and Constants GUIDE.pdf,43,0.619
503,How to Choose the Right Data Visualization GUIDE.pdf,27,0.465
506,How to integrate Jenkins with docker GUIDE.pdf,19,1.489
507,How to Read Paper GUIDE.pdf,3,0.071
508,How to Read the abstract GUIDE.pdf,1,0.033
510,How to Write A Business Plan GUIDE.pdf,38,0.255
512,How to Write a Thesis A Working GUIDE.pdf,29,0.235
516,Important GIT Commands GUIDE.pdf,7,0.149
541,Introduction to Information Security Generated by ChatGPT GUIDE.pdf,11,0.126
569,Keyboard Shortcuts for Data Scientists GUIDE.pdf,202,5.126
579,LaTex Emoji Printing GUIDE.pdf,136,1.111
581,Latex Maths for Undergrad GUIDE.pdf,2,0.416
619,LLM GUIDE.pdf,10,0.387
637,Machine Learning for Everyone GUIDE.pdf,35,5.313
648,Machine Learning Projects in Python GUIDE.pdf,135,1.996
653,Machine learning with limited data GUIDE.pdf,57,1.43
655,Machine Learning with Python for Everyone GUIDE.pdf,77,2.101
656,Machine Learning With Python GUIDE.pdf,167,3.925
678,Master SQL in 16 Pages GUIDE.pdf,16,0.737
699,Microsoft Azure Essentials GUIDE.pdf,240,7.659
700,Microsoft Azure Handbook GUIDE.pdf,132,13.055
703,Microsoft MLOps Maturity Models GUIDE.pdf,7,0.744
722,Microsoft Security Best Practices GUIDE.pdf,265,9.563
733,MLOps Continuous Delivery for ML on AWS GUIDE.pdf,69,4.466
734,MLOps Guide from Google GUIDE.pdf,37,7.603
736,MLOps Maturity Model Guide GUIDE.pdf,6,0.73
773,Pandas100 GUIDE.pdf,60,0.9
784,Postman GUIDE.pdf,24,1.804
787,Power BI GUIDE.pdf,44,1.558
788,PowerBI Step by step training GUIDE.pdf,73,7.964
798,Practitioners Guide for MLOPS Google Cloud GUIDE.pdf,37,7.603
799,Practitioners Guide to MLOPS by GoogleCloud GUIDE.pdf,37,8.242
808,Probability GUIDE.pdf,25,0.095
826,Python AI Projects for Beginners 8 smart and exciting AI applications GUIDE.pdf,155,16.123
851,Python Tips GUIDE.pdf,33,0.985
854,PyTorch GUIDE.pdf,17,1.041
856,QC Paulinesia Quantum Computing GUIDE.pdf,54,0.607
864,Quick Guide to Commonly Used Statistical Tests GUIDE.pdf,53,1.793
867,ReactJS GUIDE.pdf,33,16.159
870,Reference for choosing right data visualization GUIDE.pdf,27,0.465
884,Resume CoverLetter Guide HarvardUniversity GUIDE.pdf,21,1.44
885,Resumes and Cover Letters GUIDE.pdf,21,1.263
889,ROC Graphs Notes and Practical Considerations for Researchers GUIDE.pdf,39,0.446
897,SCRUMstudy SBOK Guide 4th edition GUIDE.pdf,420,8.324
904,ServiceNow AzureDevops Integration GUIDE.pdf,36,2.697
909,Shell Script GUIDE.pdf,69,0.506
930,SQL Tutorial GUIDE.pdf,197,1.594
934,Stakeholder Needs Elicitation GUIDE.pdf,86,3.476
935,Standard Normal Probabilities GUIDE.pdf,2,0.058
936,Stanford University CVs and Cover Letters GUIDE.pdf,30,2.415
940,State of the Art in IT Security GUIDE.pdf,107,2.473
967,Supervised Learning GUIDE.pdf,4,0.643
979,Tableau An Introduction GUIDE.pdf,146,5.545
980,Tableau GUIDE.pdf,31,4.106
982,Talend DefinitiveGuide DataGovernance GUIDE.pdf,69,8.011
988,The Data Scientist’s Guide to Spark GUIDE.pdf,100,2.529
989,The Unicode® Standard Version 12.0 Core Specification GUIDE.pdf,69,2.463
998,The Complete Guide to Data Storytelling GUIDE.pdf,10,6.699
1005,The Difference Between Boss VS Leader GUIDE.pdf,10,0.66
1022,The Matrix Cookbook GUIDE.pdf,72,0.656
1024,The Official Kanban GUIDE.pdf,15,4.115
1039,The Ultimate Guide to Data Transformation GUIDE.pdf,23,0.752
1052,Time series forecasting principles amazon forecast GUIDE.pdf,37,0.96
1091,VSCode Cheetsheet GUIDE.pdf,47,11.809
